order_id,customer_id,order_date,order_amount,product_category,discount_used,discount_value
1,1,2023-11-13,96.57,Clothing,False,0.0
2,1,2022-06-14,40.05,Electronics,False,0.0
3,1,2019-09-01,20.51,Toys,False,0.0
4,1,2021-12-16,30.05,Books,True,15.39
5,1,2022-11-08,13.98,Books,True,45.94
6,1,2023-12-21,15.24,Home,True,47.9
7,1,2020-11-20,48.64,Clothing,False,0.0
8,1,2020-11-23,10.33,Automotive,False,0.0
9,2,2021-12-12,44.52,Clothing,True,47.23
10,2,2022-10-03,17.64,Jewelry,False,0.0
11,2,2021-05-02,25.24,Sports,False,0.0
12,2,2023-09-22,45.69,Electronics,False,0.0
13,2,2022-09-26,23.63,Electronics,True,22.25
14,2,2020-01-27,33.38,Clothing,False,0.0
15,2,2019-12-03,21.35,Books,True,30.92
16,2,2021-04-06,47.92,Books,True,46.67
17,2,2022-05-07,63.72,Automotive,False,0.0
18,2,2023-03-21,24.32,Jewelry,False,0.0
19,3,2020-11-02,40.53,Electronics,True,37.02
20,3,2023-10-20,23.65,Automotive,False,0.0
21,3,2020-05-01,81.46,Books,False,0.0
22,3,2022-06-26,14.1,Automotive,True,13.27
23,3,2021-11-24,36.14,Sports,False,0.0
24,4,2022-10-25,41.37,Books,True,32.56
25,4,2022-11-11,24.21,Grocery,True,14.45
26,4,2020-10-13,41.1,Jewelry,False,0.0
27,4,2021-11-19,7.66,Toys,False,0.0
28,4,2020-08-28,15.33,Electronics,False,0.0
29,4,2020-08-26,48.44,Home,True,44.98
30,4,2020-01-01,39.55,Sports,False,0.0
31,4,2022-11-05,39.68,Beauty,False,0.0
32,4,2019-09-14,31.21,Toys,False,0.0
33,5,2021-06-17,18.78,Home,False,0.0
34,5,2020-02-23,18.27,Books,True,17.1
35,5,2021-12-21,28.53,Beauty,False,0.0
36,5,2019-11-28,26.76,Clothing,True,14.93
37,5,2021-11-01,52.0,Clothing,False,0.0
38,5,2020-09-17,57.8,Sports,True,24.44
39,5,2019-11-06,31.34,Clothing,False,0.0
40,5,2019-01-12,11.3,Beauty,True,14.2
41,5,2021-11-08,22.19,Beauty,False,0.0
42,6,2022-12-01,35.33,Jewelry,False,0.0
43,6,2021-09-01,28.37,Toys,False,0.0
44,6,2023-08-13,25.28,Electronics,True,33.08
45,6,2020-12-07,74.38,Grocery,False,0.0
46,6,2019-10-25,27.64,Automotive,False,0.0
47,6,2022-05-14,37.96,Clothing,False,0.0
48,6,2020-04-16,24.72,Sports,False,0.0
49,6,2021-11-23,15.08,Clothing,True,7.71
50,6,2023-12-04,30.27,Automotive,False,0.0
51,7,2019-11-06,31.77,Toys,True,18.44
52,7,2019-11-14,11.02,Jewelry,False,0.0
53,7,2023-12-26,56.53,Beauty,False,0.0
54,7,2022-08-19,40.27,Jewelry,False,0.0
55,7,2021-11-24,28.87,Books,False,0.0
56,7,2021-11-04,46.42,Clothing,False,0.0
57,7,2021-12-26,36.15,Electronics,True,7.77
58,7,2019-06-26,38.76,Books,False,0.0
59,7,2020-11-02,39.15,Toys,False,0.0
60,8,2022-10-04,92.97,Clothing,False,0.0
61,8,2021-07-07,132.28,Books,False,0.0
62,8,2023-04-23,38.17,Clothing,False,0.0
63,8,2022-06-07,22.73,Sports,False,0.0
64,8,2022-12-02,72.43,Toys,True,12.55
65,8,2021-12-04,39.18,Grocery,False,0.0
66,8,2021-11-18,58.41,Beauty,True,22.83
67,8,2022-11-15,80.63,Home,True,31.8
68,8,2019-11-23,91.42,Beauty,False,0.0
69,8,2023-11-21,26.54,Beauty,True,19.86
70,8,2019-11-03,66.92,Books,False,0.0
71,9,2022-12-04,68.19,Toys,True,47.68
72,9,2020-10-28,32.4,Clothing,True,27.36
73,9,2022-11-06,20.86,Jewelry,False,0.0
74,9,2021-11-02,20.94,Home,True,33.69
75,9,2021-11-19,25.86,Automotive,True,7.15
76,9,2023-09-25,95.99,Books,True,15.41
77,9,2019-11-22,30.86,Home,True,9.4
78,9,2019-04-12,29.81,Grocery,True,32.32
79,10,2022-12-02,110.51,Sports,False,0.0
80,10,2021-04-03,51.9,Toys,False,0.0
81,10,2020-12-03,117.46,Automotive,True,21.26
82,10,2022-06-23,64.11,Books,False,0.0
83,10,2022-11-28,119.74,Beauty,True,24.5
84,11,2020-01-27,27.56,Electronics,False,0.0
85,11,2023-08-28,32.96,Books,False,0.0
86,11,2019-09-20,18.21,Electronics,False,0.0
87,11,2020-02-03,36.96,Beauty,True,11.6
88,11,2019-03-19,49.65,Sports,False,0.0
89,11,2021-07-11,30.49,Toys,False,0.0
90,11,2023-02-25,51.02,Clothing,False,0.0
91,11,2022-02-20,25.07,Books,False,0.0
92,11,2020-12-06,26.52,Jewelry,True,10.0
93,12,2023-01-09,37.09,Beauty,False,0.0
94,12,2022-08-23,61.93,Books,True,38.92
95,12,2020-06-03,25.51,Grocery,False,0.0
96,12,2021-08-06,17.22,Sports,False,0.0
97,12,2022-12-22,15.45,Grocery,False,0.0
98,12,2020-02-20,35.04,Home,False,0.0
99,12,2019-06-25,42.12,Toys,False,0.0
100,12,2021-10-06,59.28,Home,False,0.0
101,12,2020-05-21,26.45,Books,False,0.0
102,12,2022-05-01,38.77,Automotive,False,0.0
103,12,2019-08-03,39.47,Automotive,True,9.47
104,12,2021-02-13,34.06,Toys,False,0.0
105,13,2019-08-09,26.29,Jewelry,True,30.29
106,13,2021-12-21,30.66,Sports,True,11.55
