customer_id,campaign_name,discount,responded,additional_revenue
1,Flash Sale,0.15,False,0.0
2,Summer Sale,0.3,True,36.98
3,Flash Sale,0.15,True,8.82
4,Flash Sale,0.15,False,0.0
5,Summer Sale,0.3,True,11.8
6,New Year Promo,0.25,False,0.0
7,New Year Promo,0.25,True,24.11
8,Holiday Sale,0.1,False,0.0
9,Flash Sale,0.15,False,0.0
10,BOGO,0.2,True,9.15
11,BOGO,0.2,False,0.0
12,Summer Sale,0.3,True,36.33
13,Summer Sale,0.3,True,17.79
14,New Year Promo,0.25,True,9.02
15,BOGO,0.2,False,0.0
16,Holiday Sale,0.1,False,0.0
17,Summer Sale,0.3,False,0.0
18,BOGO,0.2,True,10.79
19,Summer Sale,0.3,True,11.45
20,New Year Promo,0.25,True,6.87
21,Holiday Sale,0.1,False,0.0
22,Flash Sale,0.15,False,0.0
23,BOGO,0.2,False,0.0
24,Summer Sale,0.3,False,0.0
25,Flash Sale,0.15,False,0.0
26,Flash Sale,0.15,False,0.0
27,BOGO,0.2,True,18.09
28,Holiday Sale,0.1,True,4.95
29,BOGO,0.2,True,9.42
30,Summer Sale,0.3,True,8.86
31,Holiday Sale,0.1,True,6.5
32,BOGO,0.2,False,0.0
33,Flash Sale,0.15,True,10.32
34,BOGO,0.2,False,0.0
35,Holiday Sale,0.1,True,8.91
36,Flash Sale,0.15,True,9.04
37,Summer Sale,0.3,False,0.0
38,Holiday Sale,0.1,False,0.0
39,Flash Sale,0.15,False,0.0
40,BOGO,0.2,False,0.0
41,New Year Promo,0.25,False,0.0
42,Summer Sale,0.3,False,0.0
43,Flash Sale,0.15,True,4.39
44,BOGO,0.2,False,0.0
45,Flash Sale,0.15,True,4.88
46,Summer Sale,0.3,False,0.0
47,Holiday Sale,0.1,False,0.0
48,New Year Promo,0.25,True,12.04
49,Holiday Sale,0.1,True,5.28
50,BOGO,0.2,False,0.0
51,Flash Sale,0.15,False,0.0
52,Summer Sale,0.3,True,14.44
53,Flash Sale,0.15,True,11.25
54,New Year Promo,0.25,True,20.24
55,Holiday Sale,0.1,False,0.0
56,New Year Promo,0.25,True,18.3
57,Holiday Sale,0.1,True,2.51
58,Flash Sale,0.15,True,5.4
59,Flash Sale,0.15,False,0.0
