cohort_month,cohort_size,month_1_retention,month_3_retention,month_6_retention,avg_retention
2019-01,1002.0,10.67864271457086,11.377245508982035,10.878243512974052,100.0
2019-02,978.0,9.918200408997956,10.224948875255624,12.269938650306749,100.0
2019-03,783.0,10.983397190293742,10.089399744572159,12.388250319284802,100.0
2019-04,721.0,12.205270457697642,10.679611650485436,14.840499306518723,53.33333333333333
2019-05,678.0,10.471976401179942,11.651917404129794,39.52802359882006,50.0
2019-06,592.0,10.81081081081081,12.5,25.33783783783784,41.66666666666666
2019-07,552.0,13.405797101449277,17.21014492753623,10.326086956521738,38.888888888888886
2019-08,614.0,15.472312703583063,39.73941368078176,8.306188925081432,37.49999999999999
2019-09,524.0,17.557251908396946,20.419847328244277,9.732824427480915,28.47222222222222
2019-10,598.0,40.468227424749166,10.535117056856187,10.535117056856187,25.0
2019-11,1178.0,25.38200339558574,9.762308998302208,8.65874363327674,23.636363636363637
2019-12,425.0,9.647058823529411,10.588235294117647,11.529411764705882,20.948616600790512
2020-01,151.0,7.28476821192053,12.582781456953644,12.582781456953644,20.833333333333332
2020-02,121.0,7.43801652892562,9.917355371900827,16.528925619834713,19.23076923076923
2020-03,111.0,10.81081081081081,11.711711711711711,13.513513513513514,17.333333333333332
2020-04,79.0,10.126582278481013,12.658227848101266,16.455696202531644,17.33333333333333
2020-05,90.0,14.444444444444443,13.333333333333334,34.44444444444444,17.056856187290972
2020-06,95.0,13.684210526315791,16.842105263157894,17.894736842105264,16.975308641975307
2020-07,67.0,10.44776119402985,14.925373134328357,13.432835820895523,16.770186335403725
2020-08,92.0,11.956521739130435,31.521739130434785,11.956521739130435,16.365914786967416
2020-09,68.0,16.176470588235293,20.588235294117645,7.352941176470589,15.702341137123746
2020-10,76.0,42.10526315789473,2.631578947368421,5.263157894736842,15.657103482836382
2020-11,165.0,26.060606060606062,10.909090909090908,8.484848484848486,15.61634349030471
2020-12,52.0,9.615384615384617,11.538461538461538,21.153846153846153,15.598290598290598
2021-01,12.0,8.333333333333332,25.0,16.666666666666664,15.55618118118118
2021-02,20.0,10.0,15.0,5.0,15.5297157622739
2021-03,13.0,,,,15.521602406343998
2021-04,10.0,40.0,10.0,30.0,15.462590506838295
2021-05,14.0,,,50.0,15.454273312378387
2021-06,8.0,12.5,12.5,25.0,15.413595413595413
2021-07,11.0,9.090909090909092,,18.181818181818183,15.362213323625774
2021-08,18.0,5.555555555555555,50.0,,15.326086956521738
2021-09,11.0,18.181818181818183,27.27272727272727,9.090909090909092,15.298692292450962
2021-10,17.0,29.411764705882355,5.88235294117647,11.76470588235294,15.2317880794702
2021-11,21.0,19.047619047619047,14.285714285714285,14.285714285714285,15.120663650075416
2021-12,11.0,,9.090909090909092,,15.027199334742386
2022-01,3.0,33.33333333333333,,,15.005582056226531
2022-02,3.0,,33.33333333333333,,14.974974974974975
2022-04,2.0,,,50.0,14.95597230624454
2022-06,3.0,,,,14.67741935483871
2022-07,1.0,,,,14.588235294117649
2022-08,1.0,,,,14.584655524998237
2022-09,1.0,,,,14.408911246855912
2022-10,3.0,,,,14.269275028768702
2022-11,4.0,,25.0,,14.13235294117647
2023-01,1.0,,,,
